well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0047,L19,240118.1102,119063.5181,751.1285,0.4275,41.9,0.4759464
W0048,L19,240353.1173,119991.1869,817.7015,0.44,34.43,0.4877582
W0049,L19,240390.1831,121068.2655,824.546,0.415,32.77,0.5161229
W0050,L19,239405.2707,120376.8802,774.4115,0.415,21.15,0.5400741
W0051,L19,239621.7318,120720.6295,797.8115,0.4525,43.56,0.4973769
W0052,L18,239447.7339,120237.3234,711.641,0.44,53.52,0.5170329
W0053,L19,239912.2914,121451.1716,784.883,0.4275,36.09,0.478094
W0054,L19,240601.341,119076.5209,772.1885,0.415,38.58,0.51231
W0055,L19,240126.8776,118511.8568,768.737,0.415,32.77,0.5195991
W0056,L19,239417.8,118452.0468,773.885,0.44,34.43,0.4862567
W0057,L19,239837.2192,119129.4361,788.8025,0.415,35.26,0.5206274
W0058,L19,239043.4305,119214.5988,765.695,0.4275,33.6,0.5234393
W0059,L19,239201.1747,120229.1632,762.419,0.415,23.64,0.5546796
W0060,L19,239422.0766,121154.564,765.1685,0.415,24.47,0.5356515
W0061,L19,240405.8944,121998.0322,775.4645,0.44,37.75,0.4531964
W0062,L18,239646.2494,119741.8913,664.7825,0.4525,56.84,0.4895054
W0063,L18,239700.0678,120287.2105,671.1005,0.4525,43.56,0.5289539
W0064,L18,239800.6723,120747.0633,713.9225,0.4525,50.2,0.5071412
W0065,L17,240087.5507,119601.0489,635.2985,0.44,64.31,0.4721062
W0066,L19,240094.9295,119855.9328,750.368,0.415,21.98,0.5543702
W0067,L17,239913.9439,120144.3245,632.666,0.44,39.41,0.5111543
W0068,L17,239671.5178,120714.4165,696.314,0.4525,52.69,0.5268427
W0069,L19,240519.4793,119252.0272,767.684,0.4275,28.62,0.4854468
W0071,L19,240746.3755,120254.1746,822.3815,0.44,25.3,0.5098621
W0072,L19,240687.0943,120676.4903,795.881,0.44,27.79,0.4876763
W0073,L19,239998.1837,118558.7492,763.472,0.415,34.43,0.5144849
W0074,L19,239543.4021,120011.8456,798.806,0.4525,46.88,0.4601488
W0076,L19,239291.0231,118937.9959,807.5225,0.4025,35.26,0.5131199
W0077,L19,240308.2608,118997.4862,770.5505,0.44,44.39,0.4741173
W0078,L19,240967.917,120113.6512,780.1445,0.415,21.15,0.5509122
W0079,L19,240902.948,120620.64,781.958,0.44,27.79,0.5142301
W0080,L19,239511.2484,119354.0369,759.6695,0.4275,30.28,0.4896783
W0081,L18,240059.5916,119883.3131,674.6105,0.4525,43.56,0.4956843
W0082,L18,240304.9017,119896.2961,712.928,0.465,32.77,0.5187255
W0083,L18,240323.5256,120708.2959,713.4545,0.465,58.5,0.4757553
W0084,L19,239590.1138,119171.3973,816.122,0.4275,35.26,0.4720425
W0085,L18,240088.1295,120860.0108,680.87,0.465,64.31,0.4983688
W0086,L18,239482.4577,119648.823,711.2315,0.465,52.69,0.503028
W0087,L19,239989.8132,120007.3919,813.899,0.4275,32.77,0.46226
W0088,L19,240419.3807,120758.8984,757.0955,0.44,33.6,0.4671194
W0089,L19,239389.0433,118973.1934,750.134,0.4025,37.75,0.4944649
W0090,L04,241572.0525,119890.7988,1080.308,0.3525,21.15,0.02
W0091,L04,240452.1534,119954.1219,1055.972,0.3525,36.09,0.5176062
W0092,L02,239809.7404,120592.1023,792.137,0.465,0.0,0.02
W0093,L02,239394.7254,119775.6626,934.526,0.415,12.02,0.494565
W0094,L02,239341.2304,120297.5454,932.888,0.415,15.34,0.4940736
W0096,L03,240391.2668,120902.5426,1014.9635,0.415,34.43,0.4599577
W0098,L03,240305.536,121549.6389,1023.2705,0.415,33.6,0.4621963
W0100,L03,240186.1614,122098.2514,965.3555,0.4025,31.94,0.5230662
W0101,L03,239977.6383,118697.3162,912.1205,0.44,46.88,0.4929452
W0102,L04,240305.2463,120532.497,1094.816,0.3525,21.15,0.5243129
W0103,L03,239985.6883,118692.8779,967.1105,0.39,14.51,0.5331308
W0104,L03,239567.0359,119101.8896,965.4725,0.39,29.45,0.5046114
W0105,L03,239023.1479,120402.5079,968.456,0.4275,38.58,0.4973496
W0107,L03,239521.836,119780.1739,950.087,0.3775,5.38,0.5418941
W0109,L03,239648.8506,120543.9275,850.286,0.4275,24.47,0.4823619
W0111,L03,239806.0178,120863.9914,1010.5175,0.4275,27.79,0.4805783
W0112,L03,240061.8587,120282.789,1007.2415,0.415,41.9,0.4525139
W0113,L04,240163.2274,121995.2032,1010.6345,0.365,21.98,0.5768745
W0116,L01,239656.7034,118920.1255,870.41,0.44,36.09,0.4676654
W0117,L01,239438.7463,120559.8846,887.843,0.4275,48.54,0.4859109
W0118,L01,239136.3198,119253.788,871.0535,0.415,32.77,0.5227295
W0119,L01,239052.8351,120511.3608,868.8305,0.415,35.26,0.5331035
W0120,L01,240117.4347,119972.702,860.0555,0.4275,37.75,0.447063
W0121,L01,240448.162,120283.8118,828.5825,0.4025,25.3,0.6021998
W0122,L04,240077.6116,120033.0126,1041.815,0.3775,19.49,0.5271521
W0123,L04,239717.0975,120740.673,1045.6175,0.3775,19.49,0.5467808
W0124,L02,240388.7423,123164.1742,986.5325,0.39,26.13,0.6330033
W0125,L04,240666.3787,120317.3364,1092.359,0.39,18.66,0.5189621
W0126,L04,240349.1428,120988.8785,1090.955,0.39,25.3,0.5248043
W0127,L04,239945.0894,120543.0748,1084.169,0.39,17.83,0.5237487
W0128,L04,239593.2303,119495.7311,1116.9875,0.39,19.49,0.5441145
W0129,L04,239910.6779,119930.2914,1112.6,0.39,17,0.5267335
W0130,L04,239849.4981,120573.412,1120.8485,0.39,17.83,0.5279074
W0131,L04,239841.5685,119318.4867,1117.5725,0.39,21.98,0.5160683
W0132,L04,240009.9104,118773.0431,1122.3695,0.4025,19.49,0.5254231
W0133,L04,240367.1908,119556.7338,1119.6785,0.4025,21.15,0.5179611
W0135,L02,240740.2003,120080.1482,946.928,0.4275,19.49,0.4724065
W0136,L03,240315.0102,120428.4745,964.8875,0.39,24.47,0.5284989
W0137,L03,240325.2206,120433.0514,974.0135,0.4275,54.35,0.4313746
W0138,L03,240292.5645,121139.4473,1020.2285,0.415,30.28,0.4680021
W0140,L03,240063.5096,120666.3262,1011.2195,0.415,31.94,0.4663732
W0141,L03,240059.8359,120695.5147,895.682,0.4275,33.6,0.5146214
W0142,L03,239941.3511,121512.6658,966.818,0.44,44.39,0.4742265
W0144,L03,239329.5898,119416.5495,984.251,0.39,23.64,0.5051665
W0146,L03,239358.8699,117919.2192,1039.7675,0.4275,31.94,0.4986691
W0149,L03,239563.2904,121336.6438,968.2805,0.415,36.09,0.494019
W0151,L02,240747.1647,118840.1692,951.14,0.4025,13.68,0.4960665
W0152,L02,240372.7933,118544.9185,947.981,0.4025,14.51,0.5151128
W0153,L02,240336.2562,118916.1624,941.6045,0.3525,9.53,0.5126831
W0154,L02,239958.235,118422.8195,938.387,0.4025,12.02,0.5494107
W0155,L02,239586.6871,118349.323,928.9685,0.415,10.36,0.5171785
W0156,L02,239549.4085,118843.2089,924.4055,0.39,5.38,0.5396191
W0157,L04,239302.1159,118644.1499,1027.892,0.4025,27.79,0.5196628
W0158,L02,240270.1834,119861.8549,934.643,0.365,12.02,0.5232209
W0159,L02,240574.9069,120470.7845,943.3595,0.4025,6.21,0.4910797
W0160,L02,240475.2451,120866.4318,941.663,0.4275,8.7,0.5018177
W0161,L02,240305.3919,121248.3585,941.3705,0.4275,13.68,0.4721972
W0162,L02,239955.9373,121629.893,944.12,0.415,17,0.5357607
W0163,L02,240007.4405,121974.7369,947.1035,0.4025,12.85,0.5679838
W0164,L02,239616.757,121198.5621,935.696,0.39,19.49,0.5114546
W0165,L02,239603.0077,120762.9122,932.888,0.415,12.85,0.4769565
W0166,L02,239216.4017,120593.3296,937.3925,0.4275,13.68,0.4871394
W0167,L02,239081.0922,120007.9953,869.357,0.415,24.47,0.5603034
W0170,L03,239399.5078,120956.9547,966.0575,0.415,26.96,0.5081149
W0171,L03,239501.5121,118413.2566,978.05,0.415,31.11,0.5091068
W0172,L03,239611.3593,118407.4871,1011.863,0.415,29.45,0.4965488
W0173,L03,240283.6435,118901.8418,974.9495,0.415,41.9,0.4559719
W0174,L03,240533.8074,119343.6549,1010.7515,0.4275,45.22,0.4334585
W0175,L03,239086.4484,119962.2631,963.9515,0.4275,31.11,0.4908158
W0177,L03,239107.7184,119112.3126,967.754,0.415,38.58,0.5110997
W0178,L03,240772.2486,120242.3158,982.73,0.4275,50.2,0.4511216
W0179,L04,239517.5076,119485.803,1003.7315,0.4025,0.0,0.02
W0180,L04,239652.1301,119900.7384,1039.592,0.4025,0.0,0.02
W0181,L04,239216.6865,119829.187,1025.6105,0.4025,0.0,0.02
W0182,L04,240297.0965,119286.2523,1150.4495,0.4025,0.0,0.02
W0183,L04,240025.9125,120429.831,1149.806,0.4025,0.0,0.02
W0186,L04,239393.7538,121285.4687,1068.7835,0.4025,0.0,0.02
W0187,L02,240923.0803,118380.0485,831.215,0.415,38.58,0.5466716
W0188,L19,239428.0445,122250.1933,912.53,0.4275,35.26,0.613138
W0191,L03,240474.1214,119024.0096,1010.927,0.4275,44.39,0.4403927
W0195,L03,239401.3387,120908.8705,1007.0075,0.415,26.96,0.5029825
W0197,L04,238535.8711,118413.9293,1043.0435,0.4025,24.47,0.6181066
W0198,L03,240495.6732,119293.3814,975.008,0.4275,41.07,0.4390277
W0199,L01,239389.1689,119195.8537,840.2825,0.4025,21.15,0.5188165
W0200,L01,240395.2852,120065.0913,871.2875,0.4275,35.26,0.4717695
W0203,L01,239691.7494,120657.8504,723.809,0.4275,36.09,0.4743266
W0204,L01,239716.2009,120680.4949,849.701,0.44,30.28,0.5177154
W0205,L01,239319.1845,120814.6368,791.8445,0.4025,50.2,0.6571911
W0206,L01,240240.5964,121232.8256,873.686,0.44,30.28,0.5177154
W0208,L04,238498.4735,119295.8165,1104.176,0.4025,29.45,0.5940553
W0209,L01,239907.3775,122228.9448,848.999,0.4275,33.6,0.5440508
W0210,L01,239069.1591,120380.9834,845.138,0.415,32.77,0.5351601
W0211,L01,240697.8841,119826.4236,821.4455,0.4275,35.26,0.4948198
